"U:0","U:1","U:2","magVorticity","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","y","yPlus","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.03863e+00,-1.20326e-03,-1.94010e-08,2.76109e-04,4.11623e-09,2.63388e-08,-2.76107e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.25192e+00,0.00000e+00,1.10018e-01,1,0.00000e+00,2.00000e+00,-1.00000e+01,-1.69407e-21
1.03865e+00,-1.23138e-03,-2.06666e-08,2.81715e-04,1.68668e-09,2.62654e-08,-2.81713e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.24219e+00,0.00000e+00,1.10018e-01,1,2.00005e-02,2.00000e+00,-9.98000e+00,-1.63816e-21
1.03866e+00,-1.25950e-03,-2.19321e-08,2.87321e-04,-7.42766e-10,2.61920e-08,-2.87319e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.23246e+00,0.00000e+00,1.10018e-01,1,4.00000e-02,2.00000e+00,-9.96000e+00,-1.58226e-21
1.03868e+00,-1.28762e-03,-2.31977e-08,2.92927e-04,-3.17232e-09,2.61186e-08,-2.92925e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.22273e+00,0.00000e+00,1.10018e-01,1,6.00004e-02,2.00000e+00,-9.94000e+00,-1.52635e-21
1.03869e+00,-1.31574e-03,-2.44633e-08,2.98533e-04,-5.60177e-09,2.60452e-08,-2.98531e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.21300e+00,0.00000e+00,1.10018e-01,1,7.99999e-02,2.00000e+00,-9.92000e+00,-1.47045e-21
1.03871e+00,-1.34386e-03,-2.57289e-08,3.04139e-04,-8.03132e-09,2.59718e-08,-3.04137e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.20327e+00,0.00000e+00,1.10018e-01,1,1.00000e-01,2.00000e+00,-9.90000e+00,-1.41454e-21
1.03873e+00,-1.37198e-03,-2.69944e-08,3.09745e-04,-1.04608e-08,2.58984e-08,-3.09743e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.19353e+00,0.00000e+00,1.10018e-01,1,1.20000e-01,2.00000e+00,-9.88000e+00,-1.35864e-21
1.03874e+00,-1.40010e-03,-2.82600e-08,3.15351e-04,-1.28903e-08,2.58250e-08,-3.15349e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.18380e+00,0.00000e+00,1.10018e-01,1,1.40000e-01,2.00000e+00,-9.86000e+00,-1.30274e-21
1.03876e+00,-1.42822e-03,-2.95255e-08,3.20957e-04,-1.53198e-08,2.57516e-08,-3.20955e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.17408e+00,0.00000e+00,1.10018e-01,1,1.60000e-01,2.00000e+00,-9.84000e+00,-1.24683e-21
1.03877e+00,-1.45634e-03,-3.07911e-08,3.26563e-04,-1.77493e-08,2.56782e-08,-3.26561e-04,0.00000e+00,0.00000e+00,0.00000e+00,9.16434e+00,0.00000e+00,1.10018e-01,1,1.80000e-01,2.00000e+00,-9.82000e+00,-1.19093e-21
